"County","Election District","Election Precinct","Cong","Legs","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"03","001","002","03","46","Other Write-Ins","BOT","Judge of the Circuit Court","08","","Y","31",""
"03","001","002","03","46","Robert M. Bell","BOT","Judge Court of Appeals","06","Y","","526","99"
"03","001","002","03","46","Stuart R. Berger","BOT","Judge Special Appeals At Large","","Y","","528","91"
"03","001","002","03","46","Shirley M. Watts","BOT","Judge Special Appeals","06","Y","","517","102"
"03","001","003","03","46","Barack Obama","DEM","President - Vice Pres","","Y","","409",""
"03","001","003","03","46","Mitt Romney","REP","President - Vice Pres","","","","286",""
"03","001","003","03","46","Gary Johnson","LIB","President - Vice Pres","","","","15",""
"03","001","003","03","46","Jill Stein","GRN","President - Vice Pres","","","","5",""
"03","001","003","03","46","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Santa Claus","IND","President - Vice Pres","","","Y","1",""
"03","001","003","03","46","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","James Clymer","CON","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"03","001","003","03","46","Other Write-Ins","BOT","President - Vice Pres","","","Y","3",""
"03","001","003","03","46","Ben Cardin","DEM","U.S. Senator           ","","Y","","338",""
"03","001","003","03","46","Daniel John Bongino","REP","U.S. Senator           ","","","","176",""
"03","001","003","03","46","Dean Ahmad","LIB","U.S. Senator           ","","","","17",""
"03","001","003","03","46","S. Rob Sobhani","UNF","U.S. Senator           ","","","","172",""
"03","001","003","03","46","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"03","001","003","03","46","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"03","001","003","03","46","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"03","001","003","03","46","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"03","001","003","03","46","Other Write-Ins","BOT","U.S. Senator           ","","","Y","1",""
"03","001","003","03","46","John Sarbanes","DEM","Rep in Congress","03","Y","","421",""
"03","001","003","03","46","Eric Delano Knowles","REP","Rep in Congress","03","","","223",""
"03","001","003","03","46","Paul W. Drgos, Jr.","LIB","Rep in Congress","03","","","41",""
"03","001","003","03","46","Other Write-Ins","BOT","Rep in Congress","03","","Y","0",""
"03","001","003","03","46","Kendra Y. Ausby","BOT","Judge of the Circuit Court","08","Y","","357",""
"03","001","003","03","46","Jeannie J. Hong","BOT","Judge of the Circuit Court","08","Y","","368",""
"03","001","003","03","46","Charles J. Peters","BOT","Judge of the Circuit Court","08","Y","","359",""
"03","001","003","03","46","Michael W. Reed","BOT","Judge of the Circuit Court","08","Y","","367",""
"03","001","003","03","46","Yolanda A. Tanner","BOT","Judge of the Circuit Court","08","Y","","349",""
"03","001","003","03","46","David W. Young","BOT","Judge of the Circuit Court","08","Y","","352",""
"03","001","003","03","46","Other Write-Ins","BOT","Judge of the Circuit Court","08","","Y","17",""
"03","001","003","03","46","Robert M. Bell","BOT","Judge Court of Appeals","06","Y","","418","105"
"03","001","003","03","46","Stuart R. Berger","BOT","Judge Special Appeals At Large","","Y","","418","88"
"03","001","003","03","46","Shirley M. Watts","BOT","Judge Special Appeals","06","Y","","419","89"
"03","001","004","03","46","Barack Obama","DEM","President - Vice Pres","","Y","","516",""
"03","001","004","03","46","Mitt Romney","REP","President - Vice Pres","","","","339",""
"03","001","004","03","46","Gary Johnson","LIB","President - Vice Pres","","","","24",""
"03","001","004","03","46","Jill Stein","GRN","President - Vice Pres","","","","4",""
"03","001","004","03","46","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","James Clymer","CON","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"03","001","004","03","46","Other Write-Ins","BOT","President - Vice Pres","","","Y","3",""
"03","001","004","03","46","Ben Cardin","DEM","U.S. Senator           ","","Y","","425",""
"03","001","004","03","46","Daniel John Bongino","REP","U.S. Senator           ","","","","221",""
"03","001","004","03","46","Dean Ahmad","LIB","U.S. Senator           ","","","","14",""
"03","001","004","03","46","S. Rob Sobhani","UNF","U.S. Senator           ","","","","197",""
"03","001","004","03","46","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"03","001","004","03","46","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"03","001","004","03","46","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"03","001","004","03","46","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"03","001","004","03","46","Other Write-Ins","BOT","U.S. Senator           ","","","Y","1",""
"03","001","004","03","46","John Sarbanes","DEM","Rep in Congress","03","Y","","525",""
"03","001","004","03","46","Eric Delano Knowles","REP","Rep in Congress","03","","","263",""
"03","001","004","03","46","Paul W. Drgos, Jr.","LIB","Rep in Congress","03","","","36",""
"03","001","004","03","46","Other Write-Ins","BOT","Rep in Congress","03","","Y","1",""
"03","001","004","03","46","Kendra Y. Ausby","BOT","Judge of the Circuit Court","08","Y","","412",""
"03","001","004","03","46","Jeannie J. Hong","BOT","Judge of the Circuit Court","08","Y","","417",""
"03","001","004","03","46","Charles J. Peters","BOT","Judge of the Circuit Court","08","Y","","411",""
"03","001","004","03","46","Michael W. Reed","BOT","Judge of the Circuit Court","08","Y","","412",""
"03","001","004","03","46","Yolanda A. Tanner","BOT","Judge of the Circuit Court","08","Y","","396",""
"03","001","004","03","46","David W. Young","BOT","Judge of the Circuit Court","08","Y","","407",""
"03","001","004","03","46","Other Write-Ins","BOT","Judge of the Circuit Court","08","","Y","13",""
"03","001","004","03","46","Robert M. Bell","BOT","Judge Court of Appeals","06","Y","","493","98"
"03","001","004","03","46","Stuart R. Berger","BOT","Judge Special Appeals At Large","","Y","","499","89"
"03","001","004","03","46","Shirley M. Watts","BOT","Judge Special Appeals","06","Y","","493","95"
"03","001","005","03","46","Barack Obama","DEM","President - Vice Pres","","Y","","730",""
"03","001","005","03","46","Mitt Romney","REP","President - Vice Pres","","","","538",""
"03","001","005","03","46","Gary Johnson","LIB","President - Vice Pres","","","","40",""
"03","001","005","03","46","Jill Stein","GRN","President - Vice Pres","","","","8",""
"03","001","005","03","46","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Santa Claus","IND","President - Vice Pres","","","Y","1",""
"03","001","005","03","46","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","James Clymer","CON","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","1",""
"03","001","005","03","46","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"03","001","005","03","46","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
