"","jobtitle","joblink","jobLevel","budget","date","content","tags","numberOFfreelancers","totalspent","customerscore","country","customertype","score","Nfeedback"
"1","Power BI work to pull and manipulate data from Access databases and prepare analysis-FP","https://www.upwork.com/job/Power-work-pull-and-manipulate-data-from-Access-databases-and-prepare-analysis_~01d2123f4a425d6857/","Entrylevel",500,2019-06-14,"I have pulled data from multiple systems into an Access database. I need assistance creating analysis of that data using Power BI. The data is from our CRM and ERP and the initial analysis will be reconciling the CRM data to the ERP data to confirm that all clients have been appropriately billed as per the statement of work. I may be open to using Looker also. The way the process should work is: 1) The data downloads from the systems into an Access database 2) I have calculated columns. You will need to replicate these column using DAX functions in power bi. 3) BI mimics pivot tables off the Access data tables using 1) and 2) 4) BI generates reconciliation using 3) less","Business Intelligence, Data Mining, Data Visualization, Looker,  ",NA,"$10k+ ","4.80 Stars, based on 1 feedback","United States",NA,4.8,1
"2","Consolidate all spreadsheets in one","https://www.upwork.com/job/Consolidate-all-spreadsheets-one_~0146416550b72b5897/","Expert",5,2019-06-14,"Dear, I would like to bring, in a single spread sheet, the information from this zip file attached. I need your help in merging the files by slum_id, household_id, and person_id and so on (read the pdf file for all links. I would like to hire you t ... more",NA,NA,"$90+ ","5.00 Stars, based on 3 feedbacks","United States",NA,5,3
"3","Data Scientist needed to develop solution around Speech Recognition and NLP","https://www.upwork.com/job/Data-Scientist-needed-develop-solution-around-Speech-Recognition-and-NLP_~01eb40c1f6f33c3980/","Intermediate",NA,2019-06-14,"We need an efficient and agile contractor junior data scientist interested in taking up challenging business problem and building research backed solutions quickly. The position requires a problem-solving mindset with a command on using speech recognition and natural language processing. Role Requirements: - 2 to 3 years - Experience with following technologies: - Understands and has executed integration of Google Cloud Speech API with R - Understands and has executed integration of Google Natural Language API with R - Experience of using googleLanguageR and an expert level knowledge of R less","Automatic Speech Recognition, Data Science, Google APIs,  ",NA,"$800+ ","3.45 Stars, based on 11 feedbacks","United States",NA,3.45,11
"4","SQL tutor needed to create tutorial script and video","https://www.upwork.com/job/SQL-tutor-needed-create-tutorial-script-and-video_~01032194ee96873194/","Intermediate",NA,2019-06-14,"I'm looking for someone with SQL knowledge that can help create an online video and blog tutorial. No video editing experience needed but you should have fluent English skills and the ability to video tape your desktop (your face will not be in the video, only the computer). SQL experience and knowledge is required, however, I will provide the script, talking points, and code to make your life easier. The deliverable will be: - 8-10 minute video to upload to youtube - blog post I will provide the script with the talking points and code, as well as a login for the SQL platform for you to use This is for an edTech startup that creates technical courses for those looking to upskill on SQL. less",NA,5,"$6k+ ","4.99 Stars, based on 17 feedbacks","United States",NA,4.99,17
"5","Competitor Product Availability Analysis","https://www.upwork.com/job/Competitor-Product-Availability-Analysis_~01b38a4c60dd161b78/","Expert",NA,2019-06-14,"We are seeking an analyst who can research our competitors product offerings and provide us a report for each category of products.","Google Analytics, Python",NA,"$1k+ ","4.93 Stars, based on 4 feedbacks","United States",NA,4.93,4
"6","Expert Amazon FBA Manager Needed for Product and Keyword Research, China Sourcing, Launch Strategy","https://www.upwork.com/job/Expert-Amazon-FBA-Manager-Needed-for-Product-and-Keyword-Research-China-Sourcing-Launch-Strategy_~01d348b80aebd9510b/","Intermediate",NA,2019-06-14,"What the deliverable is - I need an FBA expert that can help manage the whole process from product research, sourcing, launch, copywriting and operations - Let's get on a call to discuss all details and project description","Microsoft Excel",NA,"$3k+ ","5.00 Stars, based on 8 feedbacks","Australia",NA,5,8
"7","Analysis of clinical data","https://www.upwork.com/job/Analysis-clinical-data_~016e077c31096fb0b4/","Entrylevel",NA,2019-06-14,"Statistical analysis of clinical data. Data is retrospective observational. Analysis is pretty straightforward. It will analyze patient labs (mainly white blood cell counts and simple ratios combining different counts) and outcomes (complications, s ... more","IBM SPSS",NA,"$0 ","No feedback yet","United States",NA,NA,NA
"8","Python developer with data processing/modeling experiences needed for an automated analytics product","https://www.upwork.com/job/Python-developer-with-data-processing-modeling-experiences-needed-for-automated-analytics-product_~010cbab586ac3ee58b/","Intermediate",NA,2019-06-14,"Looking for an experienced professional for Python-based data processing tasks such as creating ETL modules to automatically acquires a large volume of data from Google Analytics/Facebook Analytics API and conduct automated analytics on them thru the usage of popular analytics libraries such as sklearn and fbprophet. You will work very closely with the Chief Data Scientist of the company and perform various tasks that will contribute to the construction of an automated digital analytics platform. Familiarities with web and digital analytics tools such as Google Analytics and Facebook analytics is a strong plus. Experiences with getting data from APIs and clean those data via Numpy or Pandas is a must. Experiences with object-oriented programming in python and agile development methodology are also required. We are looking for someone to work with us for the long-term, consistency and good communication is required. less","Python",NA,"$70k+ ","5.00 Stars, based on 5 feedbacks","United States",NA,5,5
"9","Data Analytics Projects","https://www.upwork.com/job/Data-Analytics-Projects_~011c7bd8341d10fe8c/","Intermediate",NA,2019-06-14,"We are seeking a team/group of freelancers who are skilled at a wide variety of data analytics technologies and approaches for handling data analytics requirements for our business. A team with good previous experience handling analytics, dashboarding, reporting, querying, data aggregation, deduplication is ideal for this. less",NA,NA,"$0 ","No feedback yet","United States",NA,NA,NA
"10","Creating KPIs for Realty Agency (Tableau Dashboard Integration)","https://www.upwork.com/job/Creating-KPIs-for-Realty-Agency-Tableau-Dashboard-Integration_~016c548243e1cf7cb4/","Entrylevel",500,2019-06-14,"Need to: -Set up and measure all agent KPIs/Success -Track success of current marketing campaigns (KPIs) -Measure OKRs -Optimize all Capmaigns",NA,NA,"$20 ","5.00 Stars, based on 1 feedback","United States",NA,5,1
