"","jobtitle","joblink","jobLevel","budget","date","content","tags","numberOFfreelancers","totalspent","customerscore","country","customertype","score","Nfeedback"
"11","help with configuration of TAPFILIATE affiliate software","https://www.upwork.com/job/help-with-configuration-TAPFILIATE-affiliate-software_~01ae7bfa3526dc637c/","Intermediate",NA,2019-06-14,"we need help configuring tapfiliate for affiliates with a wordpress woocommerce store of an online course website. You need to have experience with the system and be able to do a video call to share screen.","Affiliate Marketing, Woocommerce",NA,"$100k+ ","4.97 Stars, based on 100 feedbacks","Switzerland",NA,4.97,100
"12","News Aggregation API and News Search UI","https://www.upwork.com/job/News-Aggregation-API-and-News-Search_~0110dea9dffac62b8a/","Intermediate",NA,2019-06-14,"Seeking developer experienced with aggregation of all news sources, API integration, and development of customized news search user interface.",NA,NA,"$80+ ","No feedback yet","United States",NA,NA,NA
"13","MtDNA Haplogroup Analysis consultant","https://www.upwork.com/job/MtDNA-Haplogroup-Analysis-consultant_~010dab697fa532a9fd/","Expert",100,2019-06-14,"Looking for a BioInformatics Consultant specifically in MtDNA for a small project we are working on. Details will be provided during the interview.","Bioinformatics, Biology, Biotechnology, DNA",NA,"$20k+ ","4.94 Stars, based on 40 feedbacks","United States",NA,4.94,40
"14","Tableau Dashboard Development","https://www.upwork.com/job/Tableau-Dashboard-Development_~0179f5103a879e5bc4/","Expert",100,2019-06-14,"This is a short project to select a provider for a longer term project on data visualisation/ dashboard for an educational ERP product using Tableau. The longer project involves using Dashboards for visualisation in detail for various modules of the ERP system. Currently we would require you to develop data visualisation Dashboard for the Fees module. less",NA,NA,"$0 ","No feedback yet","India",NA,NA,NA
"15","Fit distributions in R","https://www.upwork.com/job/Fit-distributions_~017d898ad075f9bc7c/","Entrylevel",20,2019-06-14,"I am looking for someone to help me fit my peak flow and volume data to some distributions: Generalized Pareto, Gumbel, Lop-Pearson III and Generalized Extreme value and estimate the Kolmogorov–Smirnov test statistic. The purpose is to use the outputs in my Copula function which is in the format: mvdc(tCopula(0.7943 ,dim=3),c(""weibull"",""weibull"",""gamma""), list(list(shape=dr_weib$estimate[1],scale=dr_weib$estimate[2]), list(shape=peak_weib$estimate[1],scale=peak_weib$estimate[2]), list(shape=av_gamma$estimate[1],rate=av_gamma$estimate[2]))) This function needs the estimated parameters (preferably MLE method). For instance the Weibull and Gamma distributions results which outputs were used in the copula function above, looked like this: Fitting of the distribution ' weibull ' by maximum likelihood Parameters: estimate Std. Error shape 2.870008 0.5118201 scale 1.406644 0.1180247 Fitting of the distribution ' gamma ' by maximum likelihood Parameters: estimate Std. Error shape 5.476612 1.725445 rate 4.351869 1.435926 I am looking to do the same work but estimating the parameters for the above mentioned distributions. less","R",NA,"$60 ","4.85 Stars, based on 1 feedback","Kenya",NA,4.85,1
"16","GIS expert needed for land parcels mapping of project area.","https://www.upwork.com/job/GIS-expert-needed-for-land-parcels-mapping-project-area_~0196d83393e2592a89/","Expert",15,2019-06-14,"GIS expert is required for land parcel mapping of given area extent. Arcgis based working. Only experienced persons with parcel mapping knowledge should contact. A subset of whole area shall be provided for test mapping for $15, (only 5 to 10 land patches in this probation, in 2 days time). If freelancer skills proved vital, shall be offered full project. Attached is a sample image for which parcels are to be developed, if you can, send a few parcels to me for review, digitized on this image. less",NA,NA,"$0 ","No feedback yet","Pakistan",NA,NA,NA
"17","AI / ML / DL / NLP based Hiring tool","https://www.upwork.com/job/NLP-based-Hiring-tool_~0194a60ddfea25739f/","Expert",200,2019-06-14,"I want one software module for screening CVs/ Resume / Bio Data in pdf or word files, and show results in priority rankings matching the attributes in the Job Description. The package should read / crawl at least 500 to 1000 CVs in each folder and display the results. less","Apache Hive, BigQuery, Microsoft Excel, Python",NA,"$0 ","No feedback yet","India",NA,NA,NA
"18","Google Data Studio Helper","https://www.upwork.com/job/Google-Data-Studio-Helper_~012858b2b3cb176180/","Entrylevel",NA,2019-06-14,"THE DELIVERABLE =============== I series of Google Data Studio reports needed regularly. Templates are already in place (happy to receive any suggestions / recommendations for improvements though) These need to be updated regularly (monthly). TYPE OF FREELANCER REQUIRED ============================ Essential (must have this for this project): Experience using Google Data Studio - samples of previous work will really help here. Useful to have (will increase your likelihood of being hired) 1. Experience in using Google Analytics 2. GAIQ qualified 3. Experience using Google Search Console 4. Experience using Ahrefs 5. Experience using Hotjar 6. Excellent communication skills + quick response times 7. Good attention to detail ABOUT THIS PROJECT =================== This will be an initial short trial. If this is successful then you will receive regular ongoing work. Please start your COVERING LETTER with the word ""Heisenberg"" to show 1. You pay attention to detail 2. You have good English 3. You can follow instructions. Failure to do this will mean your application is rejected. less","Google Analytics, Conversion Rate Optimization,   ",NA,"$600+ ","5.00 Stars, based on 17 feedbacks","United Kingdom",NA,5,17
"19","Google analytics ninja needed for review and set up of GA goals and events","https://www.upwork.com/job/Google-analytics-ninja-needed-for-review-and-set-goals-and-events_~012e3581fc5213ee39/","Intermediate",NA,2019-06-14,"We are a modern pet insurance start up. We have a GA account already set up which requires review and clean up. We are looking for a an experienced GA specialist to review the account and make sure it is set up based on our requirements. As it is not a typical e-commerce site, the candidate should have knowledge of type of businesses who offer a multi-step quoting process on the site which include a user sign up and ultimately a policy purchase as the end transaction point. less","Google Analytics",2,"$50k+ ","4.71 Stars, based on 43 feedbacks","United Kingdom",NA,4.71,43
"20","Google Analytics - Tracking of Subdomain","https://www.upwork.com/job/Google-Analytics-Tracking-Subdomain_~019b545f0a2bab89ac/","Intermediate",NA,2019-06-14,"Hello, I need someone to help me track my subdomain on the same property as my main domain in Google Anlytics","Google Analytics",NA,"$0 ","No feedback yet","Germany",NA,NA,NA
"21","Google Analytics audit needed","https://www.upwork.com/job/Google-Analytics-audit-needed_~018af4e45f1d68d6a8/","Expert",NA,2019-06-14,"I need to have an audit of the setup of Google Analytics on my page according to the purpose of the page and the relevant sales funnel. This means looking through the setup and creating recommendations. Hence, all recommendations should be implemented, so there should be two lists as output: a) List of changes and setup in GA for you to do b) A set of changes that my developers needs to implement less","Google Analytics",NA,"$3k+ ","5.00 Stars, based on 4 feedbacks","Norway",NA,5,4
"22","Statistics Group projects","https://www.upwork.com/job/Statistics-Group-projects_~015d686ebb779262cd/","Intermediate",100,2019-06-14,"Come up with 5 college level statistics group projects with descriptions of each project.",NA,NA,"$200k+ ","4.95 Stars, based on 377 feedbacks","South Korea",NA,4.95,377
"23","SPSS expert wanted for analysis and reporting","https://www.upwork.com/job/SPSS-expert-wanted-for-analysis-and-reporting_~013ad1591e7f2b3e42/","Intermediate",NA,2019-06-14,"Dear applicant, For this project we need a skilled SPSS expert, who really knows the way around with SPSS and statistical methods. We have 6 cases available. You will mainly work on: GLM (mostly different types of ANOVA), GLM Mixed, Non parametric, T-test, power (and some other frequently used statistical methods). More information about the cases will be given through the interview. We want to adhere that privacy is upmost important. Business analyst are also welcome to apply, however we want to mention that the cases or mostly behavioral research. We are looking for: - Someone that can start from tomorrow. - Someone that can spend more than 4 hours per day - Someone that has the technical skills of SPSS and can intuitively and automatically operate actions in SPSS. - Someone that has knowledge of the statisical theories. - Someone that has some knowledge of the syntax of SPSS - Someone that is patient and loves to analyse data and is comfortable to help with creating a report Does this fit you? We are welcoming you to apply and looking forward to it. Thank you. less","IBM SPSS, Statistics",3,"$5k+ ","4.75 Stars, based on 110 feedbacks","Netherlands",NA,4.75,110
"24","Google Analytics Expert Needed","https://www.upwork.com/job/Google-Analytics-Expert-Needed_~01546f81a4a14b7dc5/","Intermediate",100,2019-06-14,"We need some help setting up our Google analytics. We have an eCommerce store with a blog. A few of the blog posts rank quite well in Google. We get a few thousand visitors a month to these blog posts. I would like to track how well these blog posts are doing in converting visitors into customers and email subscribers. We would like to track: 1. How much sales/revenue visitors who ""land"" on these blog posts generate each month 2. How many of these visitors convert into email subscribers each month We use Shopify, Klaviyo and Sumo. Google Analytics is already set-up. Basically, I'm looking for somebody ensure our Google analytics are plugged in properly, and to extract the right report. You will then show me (via screenshare or screen recording) how to track these numbers each month. You may also need to work with me to make sure things are set up properly in Klaviyo and Sumo to track email subscribers properly. Budget is flexible. Let me know what you have in mind. Look forward to working with you! less",NA,NA,"$5k+ ","5.00 Stars, based on 3 feedbacks","United States",NA,5,3
"25","market research with something similar to Ryan Levesque method","https://www.upwork.com/job/market-research-with-something-similar-Ryan-Levesque-method_~0122467260a391ef83/","Expert",NA,2019-06-14,"apply method to market research and lead list development",NA,NA,"$1k+ ","4.47 Stars, based on 2 feedbacks","United States",NA,4.47,2
"26","Statistics Expert needed","https://www.upwork.com/job/Statistics-Expert-needed_~013f1fb1d8124ad790/","Expert",NA,2019-06-14,"I need someone with deep statistical skills to help me make sense of quite a lot of data that I have. I use Pandas & Excel. Either skill works for me. I want to get deep into distributions, modeling, testing and simulation. Let me know if you can help! less",NA,NA,"$100k+ ","4.85 Stars, based on 41 feedbacks","United States",NA,4.85,41
"27","ECommerce Analytics Set up Audit & Fix Recommendation","https://www.upwork.com/job/ECommerce-Analytics-Set-Audit-amp-Fix-Recommendation_~011abb4880953f8afd/","Intermediate",100,2019-06-14,"I need a complete audit of the Google Analytics set up (tool & site tagging) in order to: - Ensure ecommerce is properly set up. - provide recommendations and guidance on creation and use of campaign tracking codes. - Audit, set up and test/confirm that conversion tracking is working. Help set up ""goals"". - Audit, set up and confirm conversion channel attribution is working. Help track funnels. - Create 2 dashboards providing weekly and monthly insights into channel conversion and attribution. SITE: To be provided after the first interview and before final selection. Business: Wholesale ecommerce selling lots and pallets of consumer products. less","Google Analytics, Google AdWords",NA,"$4k+ ","4.94 Stars, based on 22 feedbacks","United States",NA,4.94,22
"28","Convert Quantopian model to QuantConnect (Algorithmic Trading)","https://www.upwork.com/job/Convert-Quantopian-model-QuantConnect-Algorithmic-Trading_~0104c07acb2010a060/","Intermediate",200,2019-06-14,"I'm looking for assistance with converting a Python algorithm from Quantopian to QuantConnect. The current length of the algorithm is just less than 300 lines. Obviously must be familiar with both platforms. If certain data sources/pipelines are exclusive to Quantopian, equivalents must be used for QuantConnect such that backtest and papertests are equivalent to a reasonable degree. See sources/pipelines currently used below: from quantopian.pipeline import Pipeline from quantopian.algorithm import attach_pipeline, pipeline_output from quantopian.pipeline.data.builtin import USEquityPricing from quantopian.pipeline.data import morningstar from quantopian.pipeline.factors import SimpleMovingAverage, AverageDollarVolume from quantopian.pipeline.filters.morningstar import IsPrimaryShare less","Algorithms, Python, Quantitative Finance",NA,"$100+ ","5.00 Stars, based on 1 feedback","Canada",NA,5,1
"29","Extract area covered by a mask and a median color below the mask","https://www.upwork.com/job/Extract-area-covered-mask-and-median-color-below-the-mask_~01c021c95e75a9e010/","Entrylevel",NA,2019-06-13,"Write a script that takes a satellite image like this one https://deepdom.s3.amazonaws.com/media/satellite/BQlBfkIhOzQSGpwD_XcDrwPo.jpg and a mask like this one https://deepdom.s3.amazonaws.com/media/annotation/BQlBfkIhOzQSGpwD-buildings-mask.png and extracts: * area of the building in the center of the mask * median pixel color in the mask (we want to interpret this as the color of the roof) Threshold the mask at the 0.5 level. less","Python, Computer Vision, Image/Object Recognition, Numpy, OpenCV, ",NA,"$6k+ ","4.87 Stars, based on 19 feedbacks","Poland",NA,4.87,19
"30","Agronomist for on-demand Geo-spatial Data Analytics","https://www.upwork.com/job/Agronomist-for-demand-Geo-spatial-Data-Analytics_~01e551abbd671d42d8/","Intermediate",NA,2019-06-13,"We are a consulting firm for farmers in Indonesia. We are currently looking for knowledgable agronomist who can understand geospatial data and deduce a strategy to optimize the methods of production. Requirements: - Minimum of two years experience in the Agriculture Industry - Vast understanding of new and upcoming technologies and breakthroughs in the industry - Fluent English - Understand Geospatial data to be able to prescribe treatments to plants - Understand Smart farming - Familiar with IOT and precision farming - Work online - Understand vegetative indexes such as NDVI, OSAVI, chlorophyl levels, etc - Fluent in utilizing softwares in the agriculture industry - Be able to raise the profitability index of arable land - Understand Climate and crops in Indonesia less",NA,NA,"$0 ","No feedback yet","United States",NA,NA,NA
"31","Helping in Sentiment Analysis Research","https://www.upwork.com/job/Helping-Sentiment-Analysis-Research_~01ab362b8b1c3f6fb5/","Intermediate",50,2019-06-13,"Looking for a data science researcher helping in guiding and programming. Contact FMD This job was posted from a mobile device, so please pardon any typos or any missing details.","Data Analytics, Data Science, Python, R",NA,"$10 ","No feedback yet","United Kingdom",NA,NA,NA
"32","SQL work to pull data from multiple Access databases and prepare analysis","https://www.upwork.com/job/SQL-work-pull-data-from-multiple-Access-databases-and-prepare-analysis_~01da481a9b0f8386bd/","Entrylevel",NA,2019-06-13,"I have pulled data from multiple systems into an Access database. I need assistance creating analysis using PowerBI or Quicksights. The data is from our CRM and ERP and the initial analysis will be reconciling the CRM data to the ERP data to confirm that all clients have been appropriately billed as per the statement of work. I have already created all the analysis in Excel. I need someone to translate it into PowerBI. less","Business Intelligence, Data Mining, Data Visualization, Databases,  ",NA,"$10k+ ","4.80 Stars, based on 1 feedback","United States",NA,4.8,1
"33","Data Analytics","https://www.upwork.com/job/Data-Analytics_~015defe0f03236bc7c/","Intermediate",NA,2019-06-13,"Excellent Research and Data mining capabilities! Television downloads statistics and TV Network and TV show revenues. Licensing statistics and Revenues. Travel and Tourism Industry stats and expenditures.",NA,NA,"$0 ","No feedback yet","United States",NA,NA,NA
"34","Build a custom Singer Tap for Tempo data","https://www.upwork.com/job/Build-custom-Singer-Tap-for-Tempo-data_~0185ff49935f76ac8e/","Intermediate",400,2019-06-13,"We use StitchData to load data from various sources into Google BigQuery for use in Google Data Studio. StitchData provides many of the connectors we need, however there are some missing. The most important is Tempo time tracking and planning data. In order for StitchData to extract this data we need a custom Singer Tap which StitchData can run . We would need to pull data from the following Tempo endpoints (https://tempo-io.github.io/tempo-api-docs): Accounts Plans Worklogs We can use token login for the Tempo API, no need for OAUTH unless it's easy to setup, just need to make sure the token can be stored somewhere securely. We would also need a Stitch target for this work: https://github.com/singer-io/target-stitch - this would have to replicate to an import API integration (https://www.stitchdata.com/docs/integrations/import-api). And for it to all be setup to run on a suitable server (eg heroku) less","Python, ETL Pipelines",NA,"$90k+ ","5.00 Stars, based on 16 feedbacks","United States",NA,5,16
"35","Need Levey Jennings chart template created in Excel","https://www.upwork.com/job/Need-Levey-Jennings-chart-template-created-Excel_~01cefe4096092eae0a/","Expert",50,2019-06-13,"I need someone to create an Excel template described here: http://www.bioline.org.br/request?mb11114 And have it look like the chart in the attached, but I can modify the labels as much as I need to. Another good example is here, but I can't get it ... more","Microsoft Excel",NA,"$800+ ","5.00 Stars, based on 13 feedbacks","United States",NA,5,13
"36","Analysis of Data on SPSS","https://www.upwork.com/job/Analysis-Data-SPSS_~018f5e9ed58c4f8999/","Expert",100,2019-06-13,"Hi, I need help analysing data on SPSS. I conducted an experiment in which participants had to fill in a PANAS questionnaire. I need to do a component analysis and a reliability analysis. I also need to do either a T-Test or an ANOVA to see if there is a relationship between the variables. I need someone who has experience in SPSS. less","IBM SPSS",NA,"$0 ","No feedback yet","France",NA,NA,NA
"37","Looking for Data Analyst to manage simple data from IoT sensors","https://www.upwork.com/job/Looking-for-Data-Analyst-manage-simple-data-from-IoT-sensors_~014f7ca0f1c5f7a1cb/","Entrylevel",NA,2019-06-13,"We are looking for someone to be in charge of monitoring sensors from the web dashboard to ensure they are displaying data to our customers and deliver weekly reports on what sensors are down. We are looking for someone to commit 5-7 hours per week on this. less","Microsoft Excel",NA,"$7k+ ","4.98 Stars, based on 25 feedbacks","Canada",NA,4.98,25
"38","Quick Analytics and Search Console Screenshare Consultation to Identify Issues for Traffic Decrease","https://www.upwork.com/job/Quick-Analytics-and-Search-Console-Screenshare-Consultation-Identify-Issues-for-Traffic-Decrease_~016c0e2ab8522a7540/","Expert",NA,2019-06-13,"I would like to meet with an expert who can review my Google analytics and Search Console accounts via screen share in real time. I have had a traffic dropoff in the past month after a change in WordPress themes. Most of the traffic lost appears to be Organic Search. I want to figure out the reasons for decrease in Organic Search. I need someone to quickly look at the page HTML and figure out the issues. I likely will be able to fix the issues on my own after the expert freelancer helps me identify them. less","Google Analytics, Google Search Console, SEO Auditing",NA,"$4k+ ","5.00 Stars, based on 18 feedbacks","United States",NA,5,18
"39","Regression Sales Forecasting","https://www.upwork.com/job/Regression-Sales-Forecasting_~017b62ddbb7ab0945b/","Intermediate",NA,2019-06-13,"We would like to create a model to forecast sales and units sold and choose independent variables to be able to do this accurately. We will provide a sample data set that will allow model creation.","Microsoft Excel, R",NA,"$3k+ ","5.00 Stars, based on 23 feedbacks","United States",NA,5,23
"40","Zoho Analytics Reporting Dashboards","https://www.upwork.com/job/Zoho-Analytics-Reporting-Dashboards_~011b765855fe08ef74/","Entrylevel",NA,2019-06-13,"I need someone who has EXTENSIVE experience with Zoho analytics that can setup our analytics platform to be able to show real time reporting. Must have 3+ years experience with Zoho analytics.",NA,NA,"$1k+ ","5.00 Stars, based on 12 feedbacks","United States",NA,5,12
"41","Polygon mapping tool","https://www.upwork.com/job/Polygon-mapping-tool_~0179ef6deca8a4761f/","Intermediate",NA,2019-06-13,"I need a mapping tool that works with Google that would allow me to draw custom polygons and save that data to a database.",NA,NA,"$20 ","No feedback yet","United States",NA,NA,NA
"42","R Expert needed to forecast forest growth data","https://www.upwork.com/job/Expert-needed-forecast-forest-growth-data_~01cf705249538ceea2/","Expert",110,2019-06-13,"Searching for R Expert to forecast forest growth data using non-linear mixed effects models. Interested in someone willing to be creative to solve the challenge. I am willing to add an extra 40 USD to anyone who successfully fits a model that reasona ... more","R",NA,"$300+ ","4.99 Stars, based on 10 feedbacks","United Kingdom",NA,4.99,10
"43","Google Analytics Expert - short contract","https://www.upwork.com/job/Google-Analytics-Expert-short-contract_~01bf9856f60b86474e/","Expert",200,2019-06-13,"FanShare Sports needs to build a user-friendly dashboard in order that site admins can easily track: Weekly site visitors (new and returning / registered users) Conversion rate of new visitors to registered user Conversion of registered users to paying subscribers (breakdown of weekly, monthly, and annual subscription) Average transaction value less","Google Analytics",NA,"$70k+ ","5.00 Stars, based on 1 feedback","Canada",NA,5,1
"44","research master VA shopify management and development","https://www.upwork.com/job/research-master-shopify-management-and-development_~01a6078c9e6b1c18ca/","Expert",700,2019-06-13,"Please watch this video before replying to this ad and give me an idea of what you learned from it when applying and if you think you can help. I'm looking for a full time worker or one large job so a VA can maintain it. https://www.loom.com/share/96790a556ac141dda90a8c9856990093 I need someone to fully manage my inventory, suppliers inclusive to all their shipping policies and coordinate with the inventory list I have now. I also need you to be able to work on design and make changes accordingly to shipping, prices, tags. I need someone willing to engage in market research to help me best price the products and which products to add. They must know google analytics, Adwords, SEM, Shopify development/design/ accounting and have experience running a large ecom store. I have all the systems in place I just need you to help me touch everything up and get it running smoothly so my marketer can run everything the way he needs to less",NA,NA,"$700+ ","4.20 Stars, based on 9 feedbacks","United States",NA,4.2,9
"45","Write an article for getting an internship in Data Science","https://www.upwork.com/job/Write-article-for-getting-internship-Data-Science_~013dc49819871a8132/","Intermediate",300,2019-06-13,"I'm looking for an exceptional writer in the data science field that can put together an article about data science internships. This would be ideal for someone that has experience as a data science intern or as someone that hires data science inter ... more",NA,NA,"$0 ","No feedback yet","United States",NA,NA,NA
"46","Amazon Online Arbitrage OAxray Lists","https://www.upwork.com/job/Amazon-Online-Arbitrage-OAxray-Lists_~01cba42a86136035da/","Intermediate",25,2019-06-13,"I need a list of around 40 to 50 items for Amazon Online Arbitrage..... All the ROI has to be above 45%. Big stores like Kohl's, Walmart,Target,bestbuy This must be completed today with the sales rank store url Amazon url roi pricing in Excel sheet format less",NA,NA,"$6k+ ","5.00 Stars, based on 1 feedback","United States",NA,5,1
"47","Trainer--Power BI & Tableau","https://www.upwork.com/job/Trainer-Power-amp-Tableau_~01285e8ef1ff52e589/","Intermediate",NA,2019-06-13,"We are looking for someone who can trainer our people Online on Power BI and Tableau. Practice on live based scenarios and on job support would be an added advantage.",NA,NA,"$0 ","No feedback yet","India",NA,NA,NA
"48","Magento 2 Multivendor Marketplaces 3rd party consultant.","https://www.upwork.com/job/Magento-Multivendor-Marketplaces-3rd-party-consultant_~01092ad7fcd6fbb6d2/","Intermediate",NA,2019-06-13,"REQUEST FOR PROPOSAL MANAGEMENT CONSULTANT MUTIPLE MAGENTO 2 MULTIVENDOR MARKETPLACES 1. General Services Scope • Provide consultation as requested for up to 20 Magento 2 Multivendor Marketplaces both live and under construction. • Provide consultation as requested for new extension developments for the sites. • Provide consultation on the coding, settings and general practices used by our developer of the marketplaces both live and under construction. • Provide consultation on the coding, settings and general practices used by our developer for extensions that are both live and under construction. 2. General Proponent Requirements • Magento 2 certified • Extensive Magento 2 Multivendor Marketplace experience • Proficient at coding and debugging of Magento 2 Multivendor Marketplaces and extensions for such. • Excellent English language and speaking skills • Knowledge of SEO practices and requirements • Knowledge of general Magento 2 Multivendor Marketplace integration to Social Media and other marketing tools. • Knowledge of all extensions on the market for Magento 2 specifically for the Canadian and US markets and the integration of such as required. • Knowledge of making all our sites US and Canadian dual market capable 3. Proposal Inclusions • Hourly rates • Certificates of qualifications • Minimum of 3 Business References relating directly to our scope. • Hours of availability Mountain Standard Time in Canada less",NA,NA,"$0 ","No feedback yet","Canada",NA,NA,NA
"49","Excel/VBA- Linear Programming-Creating Shifts","https://www.upwork.com/job/Excel-VBA-Linear-Programming-Creating-Shifts_~0190134ac2d312a136/","Expert",100,2019-06-13,"Need an Excel Based automated system that creates shift combinations based on the following constraints (not limited to) 1. Part time & Full time employees 2. Staff availability 3. Half hourly interval requirement - 12 hours operation (8am-8pm) 4. Ranking/priority - subjective and performance based 5. Day offs 6. Morning shift - mid - late, bi-monthly rotations Goal is to make sure that we have the required number of heads per interval while optimising the number of part time hours This job was posted from a mobile device, so please pardon any typos or any missing details. less","Data Analytics, Excel VBA, Linear Programming,  ",NA,"$200+ ","5.00 Stars, based on 8 feedbacks","Australia",NA,5,8
"50","Create a pivot table in google sheets","https://www.upwork.com/job/Create-pivot-table-google-sheets_~01c78c5addb63ff124/","Intermediate",20,2019-06-13,"I will provide 2 different sheets and based on the criteria need you to pull and display the correct data based on it matching data from the other sheet.",NA,NA,"$0 ","0.00 Stars, based on 1 feedback","United States",NA,0,1
